material_id,name,category,density_kg_m3,thermal_conductivity_w_mk,carbon_kg_per_m2,eco_grade,source
MAT_127,Steel Variant 5,Steel,8008.29,55.815,1611.1,B,ICE Database
MAT_128,Insulation Variant 14,Insulation,104.99,0.05,61.92,B,EPD Europe
MAT_129,Wood Variant 16,Wood,601.19,0.165,31.16,B,ICE Database
MAT_130,Wood Variant 17,Wood,502.09,0.147,58.66,A,ICE Database
MAT_131,Insulation Variant 17,Insulation,116.67,0.03,79.12,C,EPD Europe
MAT_132,Steel Variant 9,Steel,8041.17,57.673,1758.87,A,ICE Database
MAT_133,Wood Variant 7,Wood,708.35,0.167,89.41,D,Engineering Toolbox
MAT_134,Insulation Variant 5,Insulation,79.11,0.02,48.34,A,ICE Database
MAT_135,Glass Variant 10,Glass,2451.37,0.817,309.21,A,EPD Europe
MAT_136,Glass Variant 11,Glass,2535.66,0.913,246.11,B,ICE Database
MAT_137,Concrete Variant 2,Concrete,2308.51,1.735,314.06,A,EPD Europe
MAT_138,Concrete Variant 2,Concrete,2401.29,1.661,233.59,A,Engineering Toolbox
MAT_139,Glass Variant 7,Glass,2464.08,0.866,254.32,B,ICE Database
MAT_140,Steel Variant 14,Steel,7859.26,52.469,2106.11,C,EPD Europe
MAT_141,Wood Variant 13,Wood,540.82,0.169,89.43,C,ICE Database
MAT_142,Steel Variant 13,Steel,7815.69,51.855,1565.38,B,Engineering Toolbox
MAT_143,Concrete Variant 13,Concrete,2470.11,1.491,235.1,A,Engineering Toolbox
MAT_144,Insulation Variant 9,Insulation,59.46,0.037,75.64,B,ICE Database
MAT_145,Wood Variant 12,Wood,725.64,0.16,78.37,B,Engineering Toolbox
MAT_146,Insulation Variant 17,Insulation,102.6,0.036,57.72,A,EPD Europe
MAT_147,Glass Variant 6,Glass,2476.09,0.86,237.37,B,EPD Europe
MAT_148,Concrete Variant 2,Concrete,2340.45,1.403,225.71,D,Engineering Toolbox
MAT_149,Wood Variant 5,Wood,568.67,0.193,51.72,B,ICE Database
MAT_150,Steel Variant 18,Steel,7793.27,59.63,1995.9,C,ICE Database
MAT_151,Wood Variant 19,Wood,581.43,0.174,35.75,B,EPD Europe
MAT_152,Steel Variant 9,Steel,7731.65,46.729,2152.72,B,ICE Database
MAT_153,Wood Variant 11,Wood,464.45,0.16,33.29,B,Engineering Toolbox
MAT_154,Wood Variant 18,Wood,601.44,0.136,72.99,C,EPD Europe
MAT_155,Wood Variant 19,Wood,615.91,0.171,82.12,B,Engineering Toolbox
MAT_156,Glass Variant 10,Glass,2482.56,1.027,225.45,D,Engineering Toolbox
MAT_157,Concrete Variant 11,Concrete,2488.41,1.533,227.24,C,ICE Database
MAT_158,Glass Variant 9,Glass,2411.2,0.961,205.82,B,ICE Database
MAT_159,Concrete Variant 14,Concrete,2422.77,1.455,284.67,B,ICE Database
MAT_160,Steel Variant 1,Steel,7967.01,55.222,1738.91,D,ICE Database
MAT_161,Steel Variant 18,Steel,7968.39,52.512,2397.82,C,Engineering Toolbox
MAT_162,Insulation Variant 1,Insulation,97.89,0.045,50.29,B,Engineering Toolbox
MAT_163,Concrete Variant 4,Concrete,2343.82,1.428,258.45,C,Engineering Toolbox
MAT_164,Glass Variant 13,Glass,2509.67,0.858,284.52,C,ICE Database
MAT_165,Glass Variant 8,Glass,2551.76,0.933,381.41,A,EPD Europe
MAT_166,Glass Variant 11,Glass,2439.09,0.947,384.6,A,EPD Europe
MAT_167,Steel Variant 15,Steel,7701.72,58.002,1817.22,A,EPD Europe
MAT_168,Glass Variant 8,Glass,2476.27,1.07,227.95,C,EPD Europe
MAT_169,Insulation Variant 6,Insulation,28.47,0.04,43.57,C,Engineering Toolbox
MAT_170,Concrete Variant 16,Concrete,2271.37,1.785,193.12,C,ICE Database
MAT_171,Glass Variant 20,Glass,2472.73,0.803,360.93,D,Engineering Toolbox
MAT_172,Concrete Variant 12,Concrete,2215.43,1.493,261.98,B,ICE Database
MAT_173,Glass Variant 4,Glass,2441.63,0.811,333.24,C,ICE Database
MAT_174,Glass Variant 14,Glass,2553.83,0.975,311.42,C,EPD Europe
MAT_175,Glass Variant 10,Glass,2432.17,1.096,263.58,D,EPD Europe
MAT_176,Insulation Variant 17,Insulation,47.07,0.046,72.03,B,Engineering Toolbox
MAT_177,Glass Variant 3,Glass,2418.34,0.928,394.96,B,EPD Europe
MAT_178,Steel Variant 20,Steel,8003.83,54.559,2101.5,A,Engineering Toolbox
MAT_179,Steel Variant 10,Steel,8048.79,54.112,1581.77,C,Engineering Toolbox
MAT_180,Wood Variant 1,Wood,641.6,0.144,58.94,C,EPD Europe
MAT_181,Concrete Variant 2,Concrete,2381.32,1.645,258.43,A,EPD Europe
MAT_182,Concrete Variant 18,Concrete,2490.01,1.842,205.69,A,Engineering Toolbox
MAT_183,Wood Variant 8,Wood,719.22,0.193,67.33,D,EPD Europe
MAT_184,Steel Variant 5,Steel,8047.1,53.762,2466.8,D,ICE Database
MAT_185,Insulation Variant 4,Insulation,65.35,0.035,22.23,A,EPD Europe
MAT_186,Concrete Variant 20,Concrete,2359.54,1.555,220.96,A,EPD Europe
MAT_187,Glass Variant 17,Glass,2408.53,0.802,340.33,C,ICE Database
MAT_188,Wood Variant 4,Wood,629.29,0.168,59.07,B,ICE Database
MAT_189,Glass Variant 14,Glass,2496.8,0.893,283.49,C,EPD Europe
MAT_190,Wood Variant 17,Wood,534.83,0.182,46.99,C,ICE Database
MAT_191,Steel Variant 20,Steel,7923.83,52.259,1912.13,C,EPD Europe
MAT_192,Glass Variant 16,Glass,2435.24,0.871,285.83,B,EPD Europe
MAT_193,Concrete Variant 15,Concrete,2367.05,1.616,210.73,B,ICE Database
MAT_194,Wood Variant 2,Wood,526.01,0.123,74.61,D,Engineering Toolbox
MAT_195,Glass Variant 8,Glass,2594.19,0.841,351.37,A,Engineering Toolbox
MAT_196,Concrete Variant 17,Concrete,2235.6,1.594,215.67,A,ICE Database
MAT_197,Wood Variant 4,Wood,731.05,0.145,66.59,D,EPD Europe
MAT_198,Wood Variant 19,Wood,709.2,0.165,62.85,A,ICE Database
MAT_199,Wood Variant 17,Wood,690.08,0.137,52.66,D,Engineering Toolbox
MAT_200,Steel Variant 12,Steel,8047.85,54.615,2288.76,B,ICE Database
MAT_201,Steel Variant 6,Steel,7731.37,56.772,2071.14,C,EPD Europe
MAT_202,Glass Variant 17,Glass,2428.34,1.074,320.39,B,ICE Database
MAT_203,Wood Variant 16,Wood,656.62,0.19,71.56,A,EPD Europe
MAT_204,Concrete Variant 15,Concrete,2231.94,1.814,255.59,B,ICE Database
MAT_205,Concrete Variant 13,Concrete,2231.67,1.721,212.02,D,ICE Database
MAT_206,Insulation Variant 12,Insulation,113.13,0.022,79.55,B,Engineering Toolbox
MAT_207,Wood Variant 17,Wood,559.8,0.139,80.71,C,EPD Europe
MAT_208,Steel Variant 18,Steel,7896.27,53.513,2248.79,A,EPD Europe
MAT_209,Concrete Variant 13,Concrete,2338.29,1.542,311.47,C,ICE Database
MAT_210,Insulation Variant 7,Insulation,98.15,0.029,64.21,D,ICE Database
MAT_211,Glass Variant 17,Glass,2425.42,0.839,324.22,A,ICE Database
MAT_212,Insulation Variant 2,Insulation,71.98,0.046,75.88,B,ICE Database
MAT_213,Wood Variant 2,Wood,600.37,0.138,44.39,C,EPD Europe
MAT_214,Steel Variant 3,Steel,7834.73,54.351,1978.69,B,Engineering Toolbox
MAT_215,Steel Variant 4,Steel,7928.48,54.417,1790.87,A,Engineering Toolbox
MAT_216,Glass Variant 12,Glass,2535.44,1.013,212.28,B,EPD Europe
MAT_217,Wood Variant 10,Wood,637.26,0.194,36.08,D,EPD Europe
MAT_218,Wood Variant 2,Wood,636.84,0.144,78.03,B,Engineering Toolbox
MAT_219,Insulation Variant 1,Insulation,104.23,0.031,75.96,A,Engineering Toolbox
MAT_220,Concrete Variant 16,Concrete,2497.95,1.679,305.27,A,Engineering Toolbox
MAT_221,Concrete Variant 17,Concrete,2400.68,1.472,221.29,B,EPD Europe
MAT_222,Wood Variant 7,Wood,510.9,0.183,35.22,A,ICE Database
MAT_223,Glass Variant 5,Glass,2593.15,1.059,310.29,B,Engineering Toolbox
MAT_224,Glass Variant 11,Glass,2439.64,0.931,318.93,C,Engineering Toolbox
MAT_225,Steel Variant 14,Steel,8037.13,45.482,2112.57,C,EPD Europe
MAT_226,Wood Variant 13,Wood,560.26,0.198,38.63,B,Engineering Toolbox
MAT_227,Steel Variant 15,Steel,8030.86,54.017,1732.09,D,Engineering Toolbox
MAT_228,Steel Variant 10,Steel,7824.73,47.819,2366.12,B,ICE Database
MAT_229,Wood Variant 17,Wood,589.8,0.198,54.89,D,ICE Database
MAT_230,Insulation Variant 6,Insulation,51.62,0.026,52.77,C,EPD Europe
MAT_231,Steel Variant 13,Steel,7760.01,49.488,1592.62,D,EPD Europe
MAT_232,Wood Variant 6,Wood,702.63,0.147,50.74,B,ICE Database
MAT_233,Concrete Variant 12,Concrete,2342.82,1.685,216.09,A,ICE Database
MAT_234,Steel Variant 3,Steel,8037.24,54.011,2454.78,B,EPD Europe
MAT_235,Steel Variant 15,Steel,7997.43,48.11,1853.95,D,EPD Europe
MAT_236,Glass Variant 13,Glass,2410.36,0.871,222.23,A,ICE Database
MAT_237,Concrete Variant 13,Concrete,2401.22,1.597,191.68,C,ICE Database
MAT_238,Wood Variant 9,Wood,675.01,0.155,31.05,B,Engineering Toolbox
MAT_239,Wood Variant 5,Wood,562.16,0.126,68.32,D,Engineering Toolbox
MAT_240,Concrete Variant 2,Concrete,2364.7,1.859,226.25,A,ICE Database
MAT_241,Wood Variant 9,Wood,626.99,0.166,75.94,A,ICE Database
MAT_242,Insulation Variant 17,Insulation,25.33,0.042,37.63,D,EPD Europe
MAT_243,Glass Variant 1,Glass,2439.49,1.071,201.59,D,ICE Database
MAT_244,Concrete Variant 14,Concrete,2349.32,1.44,195.9,C,Engineering Toolbox
MAT_245,Insulation Variant 5,Insulation,89.81,0.028,29.51,B,Engineering Toolbox
MAT_246,Concrete Variant 8,Concrete,2480.92,1.534,305.29,B,Engineering Toolbox
MAT_247,Wood Variant 3,Wood,625.14,0.128,54.49,A,Engineering Toolbox
MAT_248,Concrete Variant 3,Concrete,2475.28,1.557,270.62,A,ICE Database
MAT_249,Insulation Variant 19,Insulation,118.68,0.035,58.79,A,Engineering Toolbox
MAT_250,Steel Variant 14,Steel,7747.41,50.394,2384.51,A,Engineering Toolbox
MAT_251,Steel Variant 1,Steel,7952.64,52.331,2109.17,C,Engineering Toolbox
MAT_252,Wood Variant 8,Wood,605.78,0.195,62.65,A,EPD Europe
MAT_253,Glass Variant 15,Glass,2508.68,1.019,203.74,D,ICE Database
MAT_254,Glass Variant 17,Glass,2416.08,1.028,255.84,B,ICE Database
MAT_255,Wood Variant 7,Wood,740.35,0.167,44.11,D,EPD Europe
MAT_256,Glass Variant 19,Glass,2470.23,0.884,314.87,A,Engineering Toolbox
MAT_257,Insulation Variant 12,Insulation,92.95,0.023,76.51,D,Engineering Toolbox
MAT_258,Glass Variant 10,Glass,2424.57,0.947,335.03,D,EPD Europe
MAT_259,Wood Variant 6,Wood,538.31,0.17,87.97,A,ICE Database
MAT_260,Concrete Variant 18,Concrete,2237.43,1.424,241.45,D,Engineering Toolbox
MAT_261,Steel Variant 4,Steel,7933.2,53.808,1703.17,C,EPD Europe
MAT_262,Insulation Variant 16,Insulation,97.91,0.044,42.57,D,Engineering Toolbox
MAT_263,Concrete Variant 1,Concrete,2252.51,1.804,212.31,A,EPD Europe
MAT_264,Glass Variant 1,Glass,2464.23,0.858,315.44,C,EPD Europe
MAT_265,Steel Variant 8,Steel,7784.02,50.098,2163.01,B,Engineering Toolbox
MAT_266,Insulation Variant 18,Insulation,91.77,0.036,43.75,B,Engineering Toolbox
MAT_267,Wood Variant 1,Wood,713.59,0.137,49.62,B,EPD Europe
MAT_268,Glass Variant 9,Glass,2405.15,1.03,324.18,A,EPD Europe
MAT_269,Glass Variant 12,Glass,2533.91,1.014,214.22,B,EPD Europe
MAT_270,Wood Variant 5,Wood,676.98,0.167,76.09,D,Engineering Toolbox
MAT_271,Steel Variant 11,Steel,7712.51,45.761,1577.77,A,ICE Database
MAT_272,Concrete Variant 5,Concrete,2411.95,1.417,192.07,D,Engineering Toolbox
MAT_273,Wood Variant 5,Wood,645.27,0.123,85.68,C,EPD Europe
MAT_274,Insulation Variant 12,Insulation,117.42,0.042,50.71,C,Engineering Toolbox
MAT_275,Steel Variant 9,Steel,8023.36,53.368,1504.91,B,Engineering Toolbox
MAT_276,Concrete Variant 12,Concrete,2277.24,1.75,297.62,A,EPD Europe
MAT_277,Wood Variant 16,Wood,610.29,0.196,50.93,A,Engineering Toolbox
MAT_278,Insulation Variant 20,Insulation,59.77,0.042,29.53,D,EPD Europe
MAT_279,Wood Variant 10,Wood,629.91,0.146,41.58,A,Engineering Toolbox
MAT_280,Concrete Variant 3,Concrete,2265.08,1.785,198.7,D,ICE Database
MAT_281,Steel Variant 18,Steel,7703.57,55.025,1694.91,D,Engineering Toolbox
MAT_282,Steel Variant 7,Steel,7976.31,59.068,2422.94,C,Engineering Toolbox
MAT_283,Insulation Variant 15,Insulation,91.83,0.026,37.87,C,EPD Europe
MAT_284,Steel Variant 6,Steel,7790.88,56.213,1665.49,A,ICE Database
MAT_285,Insulation Variant 13,Insulation,69.4,0.04,66.85,C,Engineering Toolbox
MAT_286,Concrete Variant 3,Concrete,2496.52,1.726,269.9,C,Engineering Toolbox
MAT_287,Steel Variant 15,Steel,7824.89,49.646,1557.4,B,EPD Europe
MAT_288,Glass Variant 12,Glass,2589.58,0.875,236.9,C,Engineering Toolbox
MAT_289,Concrete Variant 2,Concrete,2296.53,1.406,267.41,D,ICE Database
MAT_290,Insulation Variant 10,Insulation,56.31,0.042,75.69,A,ICE Database
MAT_291,Steel Variant 14,Steel,7999.59,57.051,1547.38,A,Engineering Toolbox
MAT_292,Steel Variant 5,Steel,7781.83,58.227,1618.62,C,ICE Database
MAT_293,Insulation Variant 8,Insulation,44.39,0.024,69.49,A,Engineering Toolbox
MAT_294,Insulation Variant 10,Insulation,65.75,0.032,39.88,D,ICE Database
MAT_295,Concrete Variant 7,Concrete,2316.09,1.412,196.76,D,Engineering Toolbox
MAT_296,Concrete Variant 14,Concrete,2226.3,1.516,314.56,A,EPD Europe
MAT_297,Concrete Variant 2,Concrete,2243.59,1.525,274.94,C,ICE Database
MAT_298,Glass Variant 19,Glass,2446.58,0.82,335.72,B,Engineering Toolbox
MAT_299,Insulation Variant 12,Insulation,58.32,0.033,75.2,B,Engineering Toolbox
MAT_300,Concrete Variant 12,Concrete,2444.02,1.697,212.33,D,EPD Europe
MAT_301,Steel Variant 13,Steel,7804.75,52.39,2262.37,C,EPD Europe
MAT_302,Insulation Variant 11,Insulation,91.87,0.038,35.04,C,EPD Europe
MAT_303,Wood Variant 6,Wood,467.16,0.184,58.21,C,Engineering Toolbox
MAT_304,Concrete Variant 4,Concrete,2454.79,1.661,262.72,D,ICE Database
MAT_305,Steel Variant 6,Steel,7703.09,51.877,1741.96,C,EPD Europe
MAT_306,Concrete Variant 5,Concrete,2490.04,1.772,319.38,D,ICE Database
MAT_307,Wood Variant 1,Wood,626.26,0.166,63.76,C,EPD Europe
MAT_308,Steel Variant 19,Steel,7731.57,51.278,2191.68,B,Engineering Toolbox
MAT_309,Insulation Variant 20,Insulation,30.16,0.027,68.74,A,EPD Europe
MAT_310,Insulation Variant 14,Insulation,89.23,0.032,41.08,B,EPD Europe
MAT_311,Steel Variant 20,Steel,7784.96,49.19,2097.95,D,ICE Database
MAT_312,Wood Variant 20,Wood,590.42,0.157,68.75,B,Engineering Toolbox
MAT_313,Wood Variant 13,Wood,740.39,0.163,50.71,A,EPD Europe
MAT_314,Wood Variant 7,Wood,526.46,0.169,75.45,B,EPD Europe
MAT_315,Steel Variant 16,Steel,7882.86,56.71,2315.24,C,EPD Europe
MAT_316,Steel Variant 11,Steel,7782.66,56.664,2419.62,A,Engineering Toolbox
MAT_317,Insulation Variant 12,Insulation,52.85,0.026,51.4,C,ICE Database
MAT_318,Glass Variant 19,Glass,2425.52,0.973,233.16,B,Engineering Toolbox
MAT_319,Concrete Variant 11,Concrete,2374.3,1.872,197.82,A,EPD Europe
MAT_320,Glass Variant 7,Glass,2553.29,0.868,290.42,D,Engineering Toolbox
MAT_321,Steel Variant 6,Steel,7998.89,45.44,2440.84,D,Engineering Toolbox
MAT_322,Glass Variant 16,Glass,2456.36,0.908,265.16,D,ICE Database
MAT_323,Wood Variant 6,Wood,577.57,0.152,57.12,D,Engineering Toolbox
MAT_324,Wood Variant 6,Wood,674.17,0.126,38.1,B,Engineering Toolbox
MAT_325,Steel Variant 2,Steel,7751.62,57.184,2105.95,B,ICE Database
MAT_326,Steel Variant 9,Steel,7774.24,50.491,1772.64,D,ICE Database
MAT_327,Steel Variant 12,Steel,7856.55,51.495,1791.75,A,ICE Database
MAT_328,Glass Variant 13,Glass,2502.63,0.982,390.05,D,ICE Database
MAT_329,Insulation Variant 8,Insulation,115.55,0.024,25.29,B,ICE Database
